,Date,variable,value
0,2016-12-05,CO,946.6784435245614
1,2016-12-06,CO,922.4886192234833
2,2016-12-07,CO,913.9148460695717
3,2016-12-08,CO,907.2087677266828
4,2016-12-09,CO,873.8383074583435
5,2016-12-10,CO,843.8258329890663
6,2016-12-11,CO,853.3168071485528
7,2016-12-12,CO,585.7565963179593
8,2016-12-13,CO,-124.69771485596868
9,2016-12-14,CO,-120.77777115702588
10,2016-12-15,CO,37.616427837766196
11,2016-12-16,CO,925.9261889984787
12,2016-12-17,CO,934.0164613242811
13,2016-12-18,CO,878.5466446411257
14,2016-12-19,CO,848.1356316663982
15,2016-12-20,CO,874.4121214571778
16,2016-12-21,CO,887.8810703375716
17,2016-12-22,CO,890.4312088683886
18,2016-12-23,CO,893.0832894409469
19,2016-12-24,CO,911.6354409491953
20,2016-12-25,CO,962.2364464746805
21,2016-12-26,CO,962.2161057854945
22,2016-12-27,CO,961.3293324572734
23,2016-12-28,CO,967.6817125218864
24,2016-12-29,CO,934.5046378138381
25,2016-12-30,CO,916.5296252185551
26,2016-12-31,CO,900.1749560977821
27,2017-01-01,CO,869.7038153025703
28,2017-01-02,CO,850.3334763403552
29,2017-01-03,CO,850.0447738043989
30,2017-01-04,CO,935.8760074846878
31,2017-01-05,CO,928.7284097960223
32,2017-01-06,CO,905.5385803623399
33,2017-01-07,CO,885.3789304533091
34,2017-01-08,CO,870.1416731405156
35,2017-01-09,CO,871.9804727744688
36,2017-01-10,CO,901.5859410062321
37,2017-01-11,CO,897.0703243713258
38,2017-01-12,CO,848.5672510769583
39,2017-01-13,CO,911.0805443658842
40,2017-01-14,CO,909.5863554672508
41,2017-01-15,CO,919.08030188898
42,2017-01-16,CO,904.1133726993079
43,2017-01-17,CO,898.1393175292892
44,2017-01-18,CO,895.0509231780067
45,2017-01-19,CO,902.0635696682656
46,2017-01-20,CO,928.8111981598815
47,2017-01-21,CO,922.2504215109122
48,2017-01-22,CO,928.88318382173
49,2017-01-23,CO,919.0832970968204
50,2017-01-24,CO,903.4172330015199
51,2017-01-25,CO,910.5057258257822
52,2017-01-26,CO,946.3944203430466
53,2017-01-27,CO,938.7381773088763
54,2017-01-28,CO,966.0332539050872
55,2017-01-29,CO,942.3552881941524
56,2017-01-30,CO,943.5580153152755
57,2017-01-31,CO,924.0950601749661
58,2017-02-01,CO,914.2498493561343
59,2017-02-02,CO,876.8707875005583
60,2017-02-03,CO,867.5932740281391
61,2017-02-04,CO,875.8557560326749
62,2017-02-05,CO,893.4442710749379
63,2016-12-05,HC,807.308193550074
64,2016-12-06,HC,826.1538533217669
65,2016-12-07,HC,815.5847368650523
66,2016-12-08,HC,819.3406539111201
67,2016-12-09,HC,756.720155230793
68,2016-12-10,HC,733.4407473627311
69,2016-12-11,HC,775.3613374521761
70,2016-12-12,HC,540.2899278979546
