,Product Code,Quality,Process T (C),Ambient T (C),T Difference Squared (C^2),Tool Lifespan (min),Tool Lifespan/Temp Increase^2 (min/C^2),Rotation Speed (rpm),Torque (Nm),Horsepower (HP),Machine Status
0,K,M,36.15,27.05,82.80999999999996,211.0,3.0,1351.391316063839,51.0,13.122802193308415,0.0
1,S,M,36.35,27.15,84.64000000000006,208.0,2.0,1752.0,27.8,9.273724295506474,0.0
2,K,M,36.35,27.15,84.64000000000006,205.0,2.0,1456.0,48.8,13.52871287128713,0.0
3,K,L,36.25,27.05,84.63999999999999,203.0,2.0,1685.0,27.1,8.694497334348819,0.0
4,K,L,36.25,27.05,84.63999999999999,201.0,2.0,1654.0,31.0,9.762757044935263,0.0
5,Z,L,36.25,27.05,84.63999999999999,199.0,2.0,1616.0,32.0,9.846153846153847,0.0
6,Z,M,36.25,27.05,84.63999999999999,196.0,2.0,1443.0,50.3,13.820049504950495,0.0
7,K,L,36.35,27.15,84.64000000000006,194.0,2.0,1527.0,37.0,10.757616146230008,0.0
8,Z,M,36.35,27.15,84.64000000000006,191.0,2.0,1433.0,48.8,13.315003808073113,0.0
9,Z,L,36.25,27.05,84.63999999999999,189.0,2.0,1570.0,36.8,11.000761614622999,0.0
10,S,L,36.35,27.15,84.64000000000006,186.0,2.0,1329.0,53.6,13.563290175171366,0.0
11,Z,M,36.45,27.15,86.49000000000008,183.0,2.0,1564.0,33.4,9.946230007616146,0.0
12,Z,L,36.55,27.25,86.48999999999995,181.0,2.0,1435.0,45.4,12.404607768469155,0.0
13,K,L,36.55,27.25,86.48999999999995,179.0,2.0,1468.0,44.7,12.494211728865196,0.0
14,T,L,36.55,27.25,86.48999999999995,177.0,2.0,1600.0,34.6,10.540746382330541,0.0
15,Z,L,36.05,27.05,80.99999999999994,214.0,3.0,1551.0,33.7,9.952151561309979,0.0
16,T,L,36.55,27.25,86.48999999999995,175.0,2.0,1624.0,32.6,10.08042650418888,0.0
17,S,L,36.15,27.05,82.80999999999996,216.0,3.0,1599.0,30.1,9.16410891089109,0.0
18,S,M,36.15,27.05,82.80999999999996,221.0,3.0,1418.0,39.8,10.745696877380045,0.0
19,S,M,35.95,27.15,77.44000000000007,37.0,0.0,1642.0,31.2,9.754455445544554,0.0
20,T,M,35.95,27.05,79.21000000000004,34.0,0.0,1612.0,33.0,10.128712871287128,0.0
21,S,M,35.85,27.05,77.44000000000001,31.0,0.0,1548.0,38.4,11.318202589489717,0.0
